METRIC,BASE_VALUE,METRIC_TYPE,METRIC_APP,METRIC_PATH,VERYLOW_THRESHOLD,LOW_THRESHOLD,HIGH_THRESHOLD,VERYHIGH_THRESHOLD
orderentryPaymentErrorPerc,Derived_Error,SINGLE,N/A,orderentryPaymentCalls:orderentryPaymentErrors,-0.02,-0.01,0.01,0.02
orderentryProductResponseTime,53,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FProduct%7CAverage%20Response%20Time%20%28ms%29,-10,-5,5,10
orderentryProductCalls,51,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FProduct%7CCalls%20per%20Minute,-10,-5,5,10
orderentryProductErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7COrderEntry%2FProduct%7CErrors%20per%20Minute,-2,-1,1,2
orderentryProductErrorPerc,Derived_Error,SINGLE,N/A,orderentryProductCalls:orderentryProductErrors,-0.02,-0.01,0.01,0.02
productModResponseTime,2,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2Fproductmodifications%2F.GET%7CAverage%20Response%20Time%20%28ms%29,-2,-1,1,2
productModCalls,4,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2Fproductmodifications%2F.GET%7CCalls%20per%20Minute,-3,-2,2,3
productModErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7C%2Fproductmodifications%2F.GET%7CErrors%20per%20Minute,-2,-1,1,2
productModErrorPerc,Derived_Error,SINGLE,N/A,productModCalls:productModErrors,-0.02,-0.01,0.01,0.02
profitDispatchResponseTime,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CProfitDispatchServices%7CAverage%20Response%20Time%20%28ms%29,-2,-1,1,2
profitDispatchCalls,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CProfitDispatchServices%7CCalls%20per%20Minute,-2,-1,1,2
profitDispatchErrors,0,SINGLE,FOCUS,Business%20Transaction%20Performance%7CBusiness%20Transactions%7CSERVER%7CProfitDispatchServices%7CErrors%20per%20Minute,-2,-1,1,2
profitDispatchErrorPerc,Derived_Error,SINGLE,N/A,profitDispatchCalls:profitDispatchErrors,-0.02,-0.01,0.01,0.02
